,mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_coal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_coal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_coal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,smile,S07,S07T,S18B,S22,MOZT1,geos_chem_species,id
58,61.0,CH3NO2,Nitromethane,NMOC_g,0.145,0.011,,0.0772,0.0409,0.0355,,,0.0571,,,,,0.0582,,1.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,0.0251,0.0271,,,,,,,,,0.0219,,C[N+](=O)[O-],NROG,NROG,NROG,NROG,NROG,,InChI=1S/CH3NO2/c1-2(3)4/h1H3
59,62.0,C2H6S,Ethylene glycol,NMOC_g,,0.0036,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,C(CO)O,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2"
60,62.0,C2H6S,Dimethyl sulfide,NMOC_g,0.0105,0.0036,0.0014,0.0158,0.0296,0.007,,0.1039,0.0155,,,0.0,,0.0141,0.0074,3.0,3.0,2.0,10.0,4.0,3.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0129,0.0027,0.0012,0.0239,0.04,0.0059,,0.2268,0.0147,,,,,0.0127,,CSC,ALK4,ALK4,OTH3,ALK6,BIGALK,DMS,InChI=1S/C2H6S/c1-3-2/h1-2H3
61,62.0,CH3Cl,Chloromethane,NMOC_g,0.0907,0.0546,0.053,0.0436,0.2703,0.594,,0.3332,1.5477,,,0.0222,0.145,0.1625,0.702,3.0,2.0,3.0,6.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0636,0.0363,0.0325,0.0331,0.1749,,,0.4744,1.6001,,,,,0.2075,,CCl,NROG,NROG,NROG,NROG,NROG,,InChI=1S/CH3Cl/c1-2/h1H3
62,64.0,C5H4,"1,3-pentadiyne",NMOC_g,0.0132,0.0162,,0.0097,0.132,0.0057,,,,,,,,0.0071,0.0035,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,CC#CC#C,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3"
63,64.0,CH4O3,Hydroxymethylhydrogenperoxide,NMOC_g,,,,0.19,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,C(O)OO,ARO2,ARO2,ROOH,ROOH,,,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2"
64,65.0,C4H3N,Cyanoallene isomers,NMOC_g,,,,0.0011,0.0002,0.0002,,,0.0008,,,,,0.0001,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0008,,,,,,,,,,,,C=C=CC#N,OLE1,OLE1,OLE1,OLE1,,,65.02596_C4H3N
66,66.0,C5H6,"1,3-cyclopentadiene",NMOC_g,0.0522,0.151,,0.0766,0.0402,0.0416,0.0769,0.0243,0.0347,,,,,0.0378,0.0931,1.0,3.0,0.0,7.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,,0.1056,,0.0611,0.0263,0.0409,,0.0215,,,,,,0.0221,0.0523,C1C=CC=C1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2"
67,66.0,C5H6,"3-penten-1-yne, (e)-",NMOC_g,,0.0019,,0.0039,,,,,,,,,,0.0001,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CC=CC#C,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4+"
68,66.0,C5H6,"3-penten-1-yne, (z)-",NMOC_g,,0.0101,,0.0075,,,,,,,,,,0.003,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CC=CC#C,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4-"
69,66.0,C5H6,4-penten-1-yne,NMOC_g,,0.0012,,0.0043,,,,,,,,,,0.0004,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C=CCC#C,OLE1,OLE1,OLE1,OLE1,,,"InChI=1S/C5H6/c1-3-5-4-2/h1,4H,2,5H2"
70,66.0,C5H6,1-penten-3-yne,NMOC_g,,0.0045,,0.0039,,,,,,,,,,0.0009,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CC#CC=C,OLE1,OLE1,OLE1,OLE1,,,"InChI=1S/C5H6/c1-3-5-4-2/h3H,1H2,2H3"
71,66.0,C5H6,"1-buten-3-yne, 2-methyl-",NMOC_g,,0.003,,0.0028,,,,,,,,,,0.0002,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CC(=C)C#C,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C5H6/c1-4-5(2)3/h1H,2H2,3H3"
73,67.0,C4H5N,2-butenenitrile,NMOC_g,,,,0.00599,,,,,,,,,,0.00468,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C4H5N/c1-2-3-4-5/h2-3H,1H3/b3-2+"
74,67.0,C4H5N,3-butenenitrile,NMOC_g,,0.0058,,0.00848,,,,,,,,,,0.00642,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,C=CCC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C4H5N/c1-2-3-4-5/h2H,1,3H2"
75,67.0,C4H5N,Pyrrole,NMOC_g,,0.0416,0.12,0.02559,0.06356,0.01745,,,,,,,,0.03911,,0.0,2.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0221,,0.0248,,,,,,,,,,0.0214,,C1=CNC=C1,ARO2,ARO2,FURNS,FURNS,,,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H
76,67.0,C4H5N,Methacrylonitrile,NMOC_g,0.0995,0.0103,,0.01114,0.01499,,,,,,,,,0.02379,,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0044,,,,,,,,,,0.013,,CC(=C)C#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C4H5N/c1-4(2)3-5/h1H2,2H3"
78,68.0,C5H8,Cyclopentene,NMOC_g,0.017,0.0476,,0.0288,0.0508,0.0406,,,,,,,,0.0068,,1.0,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.02,0.0371,,,,,,,,,0.0016,,C1CC=CC1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2"
79,68.0,C5H8,1-pentyne,NMOC_g,,,,,,,,,,,,,,0.0002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CCCC#C,OLE1,OLE1,ACYLS,ALK5,BIGENE,,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
80,68.0,C5H8,"1,4-pentadiene",NMOC_g,,0.0304,,0.0354,0.0124,,,,,,,,,0.0037,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C=CCC=C,OLE2,OLE2,OLE1,OLE1,BIGENE,,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2"
81,68.0,C5H8,"Trans-1,3-pentadiene",NMOC_g,0.043,0.0829,,0.0325,0.055,0.0227,,0.0093,0.0381,,,,,0.0264,,1.0,1.0,0.0,9.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0124,0.0499,0.0052,,0.0001,0.0262,,,,,0.0078,,CC=CC=C,OLE2,OLE2,OLED,OLE2,BIGENE,,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3/b5-4+"
82,68.0,C5H8,"Cis-1,3-pentadiene",NMOC_g,,0.0481,,0.0266,0.0493,0.0221,,,,,,,,0.016,,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.008,,,,,,,,,,,,CC=CC=C,OLE2,OLE2,OLED,OLE2,BIGENE,,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3/b5-4-"
83,68.0,C5H8,2-pentyne,NMOC_g,,0.0025,,0.0024,,,,,,,,,,0.0008,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CCC#CC,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C5H8/c1-3-5-4-2/h3H2,1-2H3"
84,68.0,C5H8,"1-butyne, 3-methyl-",NMOC_g,,0.0011,,,,,,,,,,,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,CC(C)C#C,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3"
85,68.0,C5H8,Isoprene,NMOC_g,0.1023,0.4254,0.1282,0.2582,0.6463,0.2025,0.0584,0.0408,0.178,,0.2253,0.0556,0.188,0.2907,0.1535,5.0,4.0,4.0,14.0,5.0,3.0,2.0,11.0,12.0,0.0,1.0,2.0,2.0,8.0,3.0,0.0789,0.3728,0.1951,0.315,0.5327,0.2568,0.0431,0.0267,0.1894,,,0.0438,0.2517,0.233,0.1537,CC(=C)C=C,ISOP,ISOP,ISOP,ISOP,ISOP,ISOP,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
86,68.0,C4H4O,Furan,NMOC_g,0.3351,0.5034,0.41,0.3961,0.968,0.1985,0.2474,0.1291,0.3741,2.615,0.4077,0.9965,1.2,0.2525,0.165,3.0,6.0,1.0,15.0,5.0,4.0,4.0,8.0,15.0,2.0,1.0,2.0,2.0,8.0,3.0,0.0592,0.3052,,0.2777,0.6687,0.0821,0.1102,0.0785,0.2345,2.2274,,0.8676,1.2445,0.2046,0.0681,C1=COC=C1,ARO2,ARO2,FURNS,FURNS,TOLUENE,,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H
88,69.0,C4H7N,Isobutyronitrile,NMOC_g,,0.00615,,0.0159,0.0295,,,,,,,,,0.00955,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(C)C#N,ALK5,ALK5,OTH4,ALK5,NROG,,"InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3"
90,70.0,C5H10,Cyclopentane,NMOC_g,0.005,0.035,,0.003,0.0628,0.0008,,0.0024,0.0717,,,0.0675,,0.002,0.0094,1.0,1.0,0.0,9.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0,,,,0.0034,0.0823,,,,0.1331,,,0.0941,,0.001,0.0073,C1CCCC1,ALK4,ALK4,ALK4,ALK4,BIGALK,,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2
91,70.0,C5H10,Trans-2-pentene,NMOC_g,0.0078,0.0241,0.0033,0.0208,0.1173,0.0096,,0.008,0.0502,,,0.1258,,0.0273,0.1149,2.0,2.0,1.0,10.0,3.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0046,0.0086,,0.0123,0.0772,0.0051,,0.0023,0.0468,,,0.1742,,0.0313,0.1274,CCC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
92,70.0,C5H10,Cis-2-pentene,NMOC_g,0.0058,0.0512,0.0019,0.0264,0.1157,0.0188,,0.0053,0.0229,,,0.047,,0.015,0.0929,2.0,2.0,1.0,9.0,3.0,2.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0046,0.0668,,0.0191,0.1073,0.018,,0.0003,0.0182,,,0.0651,,0.0134,,CCC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-"
93,70.0,C5H10,1-pentene,NMOC_g,0.02618,0.0585,,0.03836,0.17684,0.01508,,0.0109,0.07642,,,0.1173,,0.02661,0.30593,2.0,3.0,0.0,12.0,4.0,3.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,7.0,3.0,,0.0079,,0.0258,0.1431,0.0023,,0.006,0.0425,,,0.1636,,0.0177,0.4702,CCCC=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
94,70.0,C5H10,2-methyl-1-butene,NMOC_g,0.013,0.014,0.0044,0.0279,0.111,0.0124,,0.011,0.052,,,,,0.0191,0.0105,2.0,1.0,1.0,10.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.01,,,0.0173,0.0735,0.0037,,0.0013,0.0353,,,,,0.0085,,CCC(=C)C,OLE2,OLE2,OLE3,OLE3,BIGENE,,"InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3"
95,70.0,C5H10,3-methyl-1-butene,NMOC_g,0.014,0.0298,0.0038,0.0146,0.0906,0.0076,,0.0058,0.0274,,,0.0288,,0.015,0.0412,2.0,2.0,1.0,9.0,3.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0127,0.0194,,0.0105,0.0836,0.0062,,0.0018,0.0126,,,0.0402,,0.0078,,CC(C)C=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3"
96,70.0,C5H10,2-methyl-2-butene,NMOC_g,0.00565,0.00264,0.004,0.03018,0.15934,0.00979,,0.00664,0.04912,,,,,0.01303,,3.0,2.0,1.0,9.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.003,,,0.0308,0.1565,,,0.0033,0.0471,,,,,0.0056,,CC=C(C)C,OLE2,OLE2,OLE4,OLE4,BIGENE,,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3"
97,70.0,C3H2O2,Propiolic acid,NMOC_g,,,,0.012,0.0054,0.0029,,,0.0094,,,,,0.0101,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0019,,,,,,,,,,,,C#CC(=O)O,PACD,PACD,RCOOH,OACID,,,"InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)"
99,70.0,C4H6O,Crotonaldehyde,NMOC_g,0.455,0.10655,0.24,0.19771,0.02533,0.14064,,,,,,,0.302,0.24129,0.16171,2.0,2.0,1.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,,,,0.1425,,0.0021,,,,,,,,0.1581,,CC=CC=O,IPRD,IPRD,OLEA1,OLEA1,BIGENE,,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+"
100,70.0,C4H6O,"2,3-dihydrofuran",NMOC_g,,0.0136,,0.0183,0.0061,,,,,,,,,0.006,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C1COC=C1,OLE2,OLE2,OLEP,OLEP,TOLUENE,,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2"
101,70.0,C4H6O,"2,5-dihydrofuran",NMOC_g,,0.0033,,0.0029,,0.0153,,,,,,,,0.0005,,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0014,,,,,,,,,,,,C1C=CCO1,OLE2,OLE2,OLEP,OLEP,,,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2"
102,70.0,C4H6O,Methyl vinyl ketone,NMOC_g,0.42354,0.17515,0.39,0.30801,0.10066,0.21422,,0.08713,0.32163,,,,0.499,0.42626,0.15215,2.0,3.0,1.0,11.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,,0.1141,,0.1673,0.0258,0.0742,,0.002,0.1068,,,,,0.2676,,CC(=O)C=C,MVK,MVK,MVK,MVK,MVK,MVK,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3"
103,70.0,C4H6O,Methacrolein,NMOC_g,0.12371,0.07032,0.15,0.09372,0.09213,0.05656,,,,,,,0.198,0.13205,0.04868,2.0,3.0,1.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,,0.04,,0.0441,,0.0441,,,,,,,,0.0995,,CC(=C)C=O,MACR,MACR,MACR,MACR,MACR,MACR,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
104,70.0,C4H6O,Butane nitrile,NMOC_g,,0.0064,,0.006,0.013,,,,,,,,,0.0028,,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0018,,,,,,,,,,,,,,CCCC#N,ALK5,ALK5,OTH4,ALK5,NROG,,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3"
105,71.0,C4H9N,Butene amine,NMOC_g,,,,0.0029,0.0018,0.0003,,,0.0152,,,,,0.0021,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C=CCCN,OLE1,OLE1,ACYLS,ALK5,,,"InChI=1S/C4H9N/c1-2-3-4-5/h2H,1,3-5H2"
107,72.0,C3H4O2,Acrylic acid,NMOC_g,,0.096,,0.06845,,0.0097,,,,,,,,,,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0644,,,,,,,,,,,,C=CC(=O)O,OLE1,OLE1,LVKS,LVKS,BIGENE,,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)"
108,72.0,C3H4O2,Methylglyoxal,NMOC_g,1.376,0.4819,,0.52647,0.1944,0.3626,0.1084,0.1036,,,,,,1.11844,0.2058,2.0,1.0,0.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.038,,,0.2987,,0.3357,,0.026,,,,,,0.6578,,CC(=O)C=O,MGLY,MGLY,MGLY,MGLY,CH3COCHO,MGLY,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3"
109,72.0,C5H12,N-pentane,NMOC_g,0.0161,0.0574,0.008,0.0529,0.494,0.0151,,0.0108,0.0824,,,0.4218,0.0028,0.0273,0.6189,3.0,3.0,3.0,11.0,3.0,2.0,0.0,4.0,6.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0224,0.0256,0.0034,0.0553,0.366,0.003,,0.0067,0.1428,,,0.5504,,0.0172,0.6521,CCCCC,ALK4,ALK4,ALK4,ALK4,BIGALK,,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
110,72.0,C5H12,Isopentane,NMOC_g,0.0131,0.0159,0.0104,0.0288,0.0798,0.0078,,0.0662,0.3718,,,0.193,0.0037,0.0223,0.2024,2.0,3.0,3.0,10.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0154,0.0081,0.0095,0.0385,0.0614,0.0011,,0.012,0.4889,,,0.2206,,0.0152,0.2667,CCC(C)C,ALK4,ALK4,ALK4,ALK4,BIGALK,,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3"
111,72.0,C5H12,"2,2-dimethylpropane",NMOC_g,,,,0.0019,,0.0001,,,,,,,,,0.0016,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0027,,,,,,,,,,,,CC(C)(C)C,ALK2,ALK2,OTH1,ALK4,BIGALK,,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3"
113,72.0,C4H8O,N-butanal,NMOC_g,0.03,0.02269,,0.04146,0.01505,0.0288,,0.0146,0.04472,,,0.0022,,0.05357,0.1714,1.0,2.0,0.0,11.0,3.0,2.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,7.0,2.0,,,,0.0289,0.0121,0.0088,,0.0091,0.0342,,,,,0.0605,0.1239,CCCC=O,RCHO,RCHO,RCHO,RCHO,BIGALK,,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
114,72.0,C4H8O,Tetrahydrofuran,NMOC_g,,0.00275,,0.00254,,0.0016,,,,,,,,0.00155,,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,0.0026,,,,,,,,,,0.0012,,C1CCOC1,ALK5,ALK5,OTH4,ALK5,BIGALK,,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
115,72.0,C4H8O,Methyl ethyl ketone,NMOC_g,0.1444,0.10455,0.5,0.16876,0.25691,0.111,0.0493,0.1221,0.21308,,,0.0023,0.469,0.25072,0.1117,2.0,4.0,1.0,12.0,4.0,3.0,1.0,7.0,7.0,0.0,0.0,1.0,1.0,12.0,3.0,0.0065,0.0436,,0.103,0.2445,0.0633,,0.1433,0.1503,,,,,0.3621,0.0869,CCC(=O)C,MEK,MEK,MEK,MEK,MEK,MEK,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
116,72.0,C4H8O,2-methylpropanal,NMOC_g,0.05,0.02974,0.18,0.04193,0.14535,0.0455,,,,,,,0.165,0.0409,,1.0,2.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,,,,0.0218,,0.0022,,,,,,,,0.032,,CC(C)C=O,RCHO,RCHO,RCHO,RCHO,BIGALK,,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3"
117,73.0,C2H3NO2,Nitroethene,NMOC_g,,,,0.0058,0.0001,0.0009,,,0.0,,,,,0.0018,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0057,,,,,,,,,,,,C=C[N+](=O)[O-],OLE1,OLE1,OLE1,OLE1,,,"InChI=1S/C2H3NO2/c1-2-3(4)5/h2H,1H2"
118,74.0,C4H10O,1-butanol,NMOC_g,,0.0096,,0.3337,,0.208,,,,,,,,0.0059,,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.5652,,,,,,,,,,,,CCCCO,ALK5,ALK5,OTH3,ALK6,BIGALK,,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
120,74.0,C3H6O2,Propanoic acid,NMOC_g,,0.13,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,CCC(=O)O,PACD,PACD,RCOOH,OACID,,,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
121,74.0,C3H6O2,Ethyl formate,NMOC_g,,,,0.01429,,0.01802,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0087,,,,,,,,,,,,CCOC=O,ALK2,ALK2,OTH1,ALK4,NROG,,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3"
122,74.0,C3H6O2,Methyl acetate,NMOC_g,0.21531,0.031,,0.25412,0.0802,0.37046,,,,,,,,0.281,,2.0,2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.2951,,,,,,,,,,0.2263,,CC(=O)OC,ALK2,ALK2,OTH1,ALK4,NROG,,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3
123,74.0,C3H6O2,Acetol,NMOC_g,1.16013,0.31167,1.13,0.62096,1.1623,0.39121,1.1439,0.5411,2.08979,21.56,,1.81,8.89,2.16369,1.0158,3.0,3.0,1.0,6.0,3.0,3.0,3.0,8.0,13.0,1.0,0.0,1.0,1.0,7.0,2.0,0.1035,0.4382,,0.4609,0.934,0.2077,0.7508,0.4697,2.5958,,,,,2.3903,0.9393,CC(=O)CO,MEK,MEK,KET2,KET2,HYAC,HAC,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3"
124,74.0,C3H6O2,"Acetaldehyde, methoxy-",NMOC_g,,,,0.0029,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,COCC=O,RCHO,RCHO,RCHO,RCHO,,,"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3"
125,75.0,C2H5NO2,Nitroethane or ethane nitrite,NMOC_g,,,,0.0066,0.0013,0.0003,,,0.0024,,,,,0.0008,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0078,,,,,,,,,,,,CC[N+](=O)[O-],RNO3,RNO3,R1NO3,R1NO3,,,75.03146_C2H5NO2
